companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open)
HCL Technologies,2016,848.0,889.8,706.5,827.4,46107420,811821,35512364472,31624491,68.59,183.3,-20.6
HCL Technologies,2017,825.0,941.0,778.05,890.65,49125029,518926,42301799291,37246370,75.82,162.95,65.65
HCL Technologies,2018,885.25,1124.5,879.35,962.55,37531913,552703,35818409998,23436975,62.45,245.15,77.3
HCL Technologies,2019,965.0,1190.0,535.0,568.25,18096554,453847,18457568938,8829214,48.79,655.0,-396.75
HCL Technologies,2020,572.0,950.0,375.5,945.95,67972676,1514044,49210705747,31971396,47.04,574.5,373.95
HCL Technologies,2021,943.0,1377.0,890.0,1318.4,81286924,2550399,85622549620,46180031,56.81,487.0,375.4
HCL Technologies,2022,1315.0,1359.0,875.65,1039.0,53751205,2188833,55903499495,35916661,66.82,483.35,-276.0
HCL Technologies,2023,1039.0,1509.25,1016.45,1466.1,22023016,1232575,26223853141,12134464,55.1,492.8,427.1
HCL Technologies,2024,1455.05,1979.45,1235.0,1918.35,27737170,1571062,44208340881,15248435,54.97,744.45,463.3
HCL Technologies,2025,1918.35,2011.0,1304.0,1642.5,28082249,1483926,44539031058,16922946,60.26,707.0,-275.85
